family,n,E0,r,field,potential
B7_cantor,6,0.16666666666666666,0.8221,1.079004555000001,0.7792013940551669
B7_cantor,6,0.16666666666666666,0.82215,1.079413098750001,0.7792553545041043
B7_cantor,6,0.16666666666666666,0.8222,1.079819820000001,0.7793093353346668
B7_cantor,6,0.16666666666666666,0.82225,1.0802247187500007,0.7793633364557293
B7_cantor,6,0.16666666666666666,0.8223,1.0806277950000007,0.7794173577761668
B7_cantor,6,0.16666666666666666,0.82235,1.0810290487500007,0.7794713992048543
B7_cantor,6,0.16666666666666666,0.8224,1.0814284800000007,0.7795254606506669
B7_cantor,6,0.16666666666666666,0.82245,1.0818260887500006,0.7795795420224793
B7_cantor,6,0.16666666666666666,0.8225,1.0822218750000006,0.7796336432291668
B7_cantor,6,0.16666666666666666,0.82255,1.0826158387500004,0.7796877641796043
B7_cantor,6,0.16666666666666666,0.8226,1.0830079800000008,0.7797419047826668
B7_cantor,6,0.16666666666666666,0.82265,1.0833982987500006,0.7797960649472293
B7_cantor,6,0.16666666666666666,0.8227,1.0837867950000004,0.7798502445821668
B7_cantor,6,0.16666666666666666,0.82275,1.0841734687500004,0.7799044435963542
B7_cantor,6,0.16666666666666666,0.8228,1.0845583200000006,0.7799586618986668
