family,n,seed,kstar,D,peak_k
B2_central,3,0,3,1.0,10.125
B3_periodic,3,0,1,0.2592592592592592,1.5
B3_periodic,3,0,2,0.4629629629629629,2.25
B3_periodic,3,0,3,0.7222222222222222,3.375
B7_cantor,3,0,1,0.2222222222222222,1.5
B7_cantor,3,0,2,0.4444444444444444,2.25
B7_cantor,3,0,3,0.4444444444444444,3.375
B4_random,3,1,1,0.29164015161186435,1.5
B4_random,3,1,2,0.5610135097197096,2.25
B4_random,3,1,3,0.5610135097197096,3.375
B4_random,3,2,1,0.26158232574226303,1.5
B4_random,3,2,2,0.49044109515970813,2.25
B4_random,3,2,3,0.6718870227247082,3.375
B4_random,3,3,1,0.32275279796995626,1.5
B4_random,3,3,2,0.5340149330857132,2.25
B4_random,3,3,3,0.8113710361169588,3.375
B4_random,3,4,1,0.34977930059809625,1.5
B4_random,3,4,2,0.5536609419941062,2.25
B4_random,3,4,3,0.7535701961675179,3.375
B4_random,3,5,1,0.24448924186898183,1.5
B4_random,3,5,2,0.4492784399500654,2.25
B4_random,3,5,3,0.5286157629127511,3.375
B4_random,3,6,1,0.2951161599723925,1.5
B4_random,3,6,2,0.4968525726736389,2.25
B4_random,3,6,3,0.4968525726736389,3.375
B4_random,3,7,1,0.25519490275007994,1.5
B4_random,3,7,2,0.4486792016005603,2.25
B4_random,3,7,3,0.6023929106221503,3.375
B4_random,3,8,1,0.1933925420188063,1.5
B4_random,3,8,2,0.3784957207695091,2.25
B4_random,3,8,3,0.3784957207695091,3.375
B4_random,3,9,1,0.22467414227638105,1.5
B4_random,3,9,2,0.4174465611277408,2.25
B4_random,3,9,3,0.5126036819383426,3.375
B4_random,3,10,1,0.24509636953453415,1.5
B4_random,3,10,2,0.41499152168323983,2.25
B4_random,3,10,3,0.41499152168323983,3.375
B4_random,3,11,1,0.22345750117551952,1.5
B4_random,3,11,2,0.3908316051327668,2.25
B4_random,3,11,3,0.3908316051327668,3.375
B4_random,3,12,1,0.3205984081562899,1.5
B4_random,3,12,2,0.5573581418673752,2.25
B4_random,3,12,3,0.6346358768571391,3.375
B4_random,3,13,1,0.23836165484933636,1.5
B4_random,3,13,2,0.42366127292415223,2.25
B4_random,3,13,3,0.42366127292415223,3.375
B4_random,3,14,1,0.23853374547898681,1.5
B4_random,3,14,2,0.42840625194434656,2.25
B4_random,3,14,3,0.7676554557192438,3.375
B4_random,3,15,1,0.29368264397831134,1.5
